CID,Time,Text,Platform,
1.0149321070414E+018,2018-07-05 18:00 +0000,"4. #WestPoint puts the “FREE” in freedom

West Point summer concerts are completely FREE of charge. Where else can you enjoy an out-of-this-world performance and dazzling #fireworks show without spending a dime?

Read more: https://t.co/Yuu8ympbqN https://t.co/NnFqv5eT5P",Twitter,
1.01490841659322E+018,2018-07-05 16:26 +0000,@RCHanoi @WestPointParent @WestPoint_USMA @nbc Thank you so much!,Twitter,
1.01487598869669E+018,2018-07-05 14:17 +0000,@gregman2 Thank you so much!,Twitter,
1.01487582924182E+018,2018-07-05 14:17 +0000,@JoannaHendrie Thank you so much! 🇺🇸,Twitter,
1.01487548282166E+018,2018-07-05 14:15 +0000,@nicoleslick719 Thank you so much! 🇺🇸,Twitter,
1.0147374644042E+018,2018-07-05 05:07 +0000,@BrenditaPori @Macys @kelly_clarkson Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01473743252323E+018,2018-07-05 05:07 +0000,@gregman2 Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01473477268862E+018,2018-07-05 04:56 +0000,@Kate8fab @kelly_clarkson Happy 4th of July! 🇺🇸,Twitter,
1.01473435482269E+018,2018-07-05 04:54 +0000,@sheltielove @USArmy @WestPoint_USMA @Macys Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01473427130142E+018,2018-07-05 04:54 +0000,@kahaimnadze @nikkihaley @USUN Madloba! We’re glad you enjoyed the music.,Twitter,
1.01472260338527E+018,2018-07-05 04:08 +0000,@windband @WestPoint_USMA @Macys @nbc Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01471394627047E+018,2018-07-05 03:33 +0000,"🎶God bless America
Land that I love
Stand beside her 
And guide her
Through the night with the light from above🎶

Happy #4thofJuly! 🇺🇸

@USArmy @WestPoint_USMA @WestPointParents @Macys #MacysFireworks https://t.co/YxDaH72wEw",Twitter,
1.01470939662923E+018,2018-07-05 03:15 +0000,@MikeStanton2012 @Macys Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470934627253E+018,2018-07-05 03:15 +0000,@smashmarc @Macys Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470925793203E+018,2018-07-05 03:15 +0000,@CurtWhirl Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470922225528E+018,2018-07-05 03:15 +0000,@reviggy @WestPoint_USMA Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470917713716E+018,2018-07-05 03:14 +0000,@enidinthecity Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470911485181E+018,2018-07-05 03:14 +0000,@jslick07 Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470906202873E+018,2018-07-05 03:14 +0000,@glossaria Isn’t he wonderful? Happy 4th of July! 🇺🇸,Twitter,
1.01470895269998E+018,2018-07-05 03:14 +0000,@sylviekell @kellyclarkson @nbc @Macys @USArmy @WestPoint_USMA Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470890727568E+018,2018-07-05 03:13 +0000,@Andrea40175506 @LCMullinsWINS @SoniaRincon @Macys @1010WINS Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470776493176E+018,2018-07-05 03:09 +0000,@DavidOlinTullis @Macys Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470772830292E+018,2018-07-05 03:09 +0000,@marlenacs @kelly_clarkson @Macys Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470766766587E+018,2018-07-05 03:08 +0000,@PCookTech Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470758442159E+018,2018-07-05 03:08 +0000,@DanicaZeise Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470752588585E+018,2018-07-05 03:08 +0000,@Fab_40 @Macys @macysnews Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470743810736E+018,2018-07-05 03:08 +0000,@ndixit Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470735582356E+018,2018-07-05 03:07 +0000,@Rypny Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470730323123E+018,2018-07-05 03:07 +0000,@Andrea40175506 @AdriaBalletBeat Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470717730985E+018,2018-07-05 03:06 +0000,@KevinSevigny @Macys Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470702865944E+018,2018-07-05 03:06 +0000,@sylviekell @kellyclarkson @nbc @Macys @USArmy @WestPoint_USMA Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470696892417E+018,2018-07-05 03:06 +0000,@bereitedich Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470691783337E+018,2018-07-05 03:05 +0000,@GoodFiberYarns @Macys @kelly_clarkson Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470687404483E+018,2018-07-05 03:05 +0000,@chrissert84 @WestPoint_USMA Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470682082755E+018,2018-07-05 03:05 +0000,@SonsLegionRadio @WestPoint_USMA @Macys @AmericanLegion @RallyPoint Thank you! Happy 4th of July! 🇺🇸,Twitter,
1.01470675653725E+018,2018-07-05 03:05 +0000,@Stars252525 @Macys @nbc @WestPoint_USMA Thank you! Happy 4th of July! 🇺🇸,Twitter,
